19110196	18	8.86	2	1.90	0	80.0	1	5	0.0
19110437	26	9.2	2	1.85	0	89.0	1	5	1100.0
19110624	20	8.0	2	1.77	0	60.0	0	5	650.0
19110296	19	7.0	2	1.80	0	76.0	5	4	1000.0
19110536	24	8.46	2	1.73	0	95.0	3	5	700.0
19110593	19	8.79	2	1.57	0	74.0	0	5	598.0
19110372	19	9.21	2	1.85	0	77.0	3	5	1100.0
19110589	24	6.97	2	1.71	0	75.0	0	5	1800.0
19110018	26	6.14	2	1.70	0	72.0	3	3	1500.0
19210055	22	6.2	2	1.78	0	110.0	1	5	2000.0
19110565	22	8.83	2	1.85	0	78.0	3	5	0.0
19110443	23	7.14	2	1.89	0	70.0	0	5	1500.0
19110561	20	7.33	2	1.61	0	56.0	8	5	625.0
19110362	21	9.44	2	1.67	0	61.0	1	5	1700.0
19110292	19	9.26	2	1.80	0	76.0	2	5	0.0
17110407	22	5.90	2	1.68	0	64.0	2	3	0.0
19110258	23	7.83	2	1.78	0	77.0	3	5	1700.0
19110379	24	9.2	2	1.67	0	78.0	1	5	900.0
19110554	18	8.52	2	1.90	0	84.0	1	5	0.0
19110441	20	8.02	2	1.82	0	74.0	1	5	1021.0
